,,c0,c0,c0,c0,c0,h0,h0,h0,h0,h0,h1,h1,h1,h1,h1,h2,h2,h2,h2,h2,op,op,op,op,op,all,all,all,all,all
error_type,,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3
model_seed,error_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920,LIM_99-6404,0.1909,0.9891,0.2021,0.9893,0.9893,0.9346,0.9898,0.943,0.9904,0.9904,0.9875,0.9901,0.9904,0.9898,0.9883,0.557,0.9896,0.5471,0.9906,0.9883,0.9146,0.9888,0.9141,0.9716,0.9724,0.1094,0.987,0.1174,0.9638,0.9635
2920,LIM_99-9387,0.207,0.9893,0.1935,0.9893,0.9893,0.9341,0.9904,0.9479,0.9885,0.9909,0.9862,0.9888,0.9878,0.9888,0.9888,0.5635,0.9898,0.5625,0.9857,0.988,0.901,0.9883,0.8938,0.9695,0.9674,0.1128,0.9872,0.1065,0.9581,0.9599
3824,LIM_01-2188,0.9031,0.9875,0.8544,0.9875,0.9875,0.9867,0.9875,0.987,0.9872,0.9872,0.9875,0.9875,0.9875,0.9875,0.9875,0.9784,0.9875,0.9779,0.9875,0.9875,0.9859,0.9875,0.9865,0.9867,0.9872,0.8953,0.9875,0.8401,0.9865,0.9872
3824,LIM_01-3987,0.8839,0.9875,0.8385,0.9875,0.9875,0.987,0.9872,0.9878,0.9875,0.9875,0.9872,0.9875,0.9875,0.9872,0.9875,0.9789,0.9872,0.9758,0.9875,0.9872,0.9852,0.9875,0.9854,0.9872,0.987,0.8695,0.9872,0.8263,0.9872,0.987
3824,LIM_01-4981,0.8284,0.9875,0.8487,0.9875,0.9875,0.9872,0.987,0.9867,0.9872,0.9872,0.9872,0.9875,0.987,0.9875,0.9878,0.9786,0.9875,0.9792,0.9875,0.9875,0.9857,0.9872,0.9865,0.9872,0.987,0.8169,0.987,0.8401,0.9872,0.987
3824,LIM_01-6404,0.8247,0.9875,0.9031,0.9875,0.9875,0.9872,0.9875,0.9872,0.9872,0.9875,0.9872,0.9872,0.9875,0.9872,0.9875,0.9789,0.9872,0.981,0.987,0.9872,0.9865,0.9875,0.9865,0.9875,0.9875,0.818,0.9875,0.8964,0.987,0.9872
3824,LIM_01-9387,0.8182,0.9875,0.8609,0.9875,0.9875,0.987,0.9875,0.987,0.9875,0.9875,0.9875,0.9875,0.9872,0.9872,0.9872,0.976,0.9875,0.9784,0.9875,0.9875,0.9867,0.9875,0.987,0.9875,0.9872,0.8065,0.9875,0.851,0.9872,0.9875
3824,LIM_02-2188,0.744,0.9875,0.7958,0.9875,0.9875,0.9867,0.9872,0.9872,0.987,0.9875,0.9878,0.9872,0.9872,0.9878,0.9872,0.9674,0.9872,0.9677,0.9875,0.9878,0.9841,0.9875,0.9846,0.9872,0.9872,0.7188,0.987,0.7734,0.9867,0.9875
3824,LIM_02-3987,0.7313,0.9875,0.7953,0.9875,0.9875,0.9875,0.9872,0.987,0.987,0.9872,0.9878,0.9872,0.9875,0.9872,0.9875,0.9732,0.9875,0.968,0.9875,0.9875,0.9846,0.9875,0.9857,0.9872,0.9875,0.7172,0.987,0.7677,0.9867,0.9878
3824,LIM_02-4981,0.7148,0.9875,0.6753,0.9875,0.9875,0.9875,0.9872,0.987,0.9875,0.987,0.9872,0.9872,0.987,0.9872,0.9875,0.9714,0.9875,0.9695,0.9875,0.9875,0.9833,0.9875,0.9833,0.9875,0.9875,0.6904,0.987,0.6508,0.9878,0.9875
